Id,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Total_Spending,Total_Purchases,Total_Children,Has_Children,Customer_Age,Customer_Tenure,Web_Purchase_Ratio,Store_Purchase_Ratio,Catalog_Purchase_Ratio,Deal_Purchase_Ratio,Avg_Spending_Per_Purchase,Wine_Share,Meat_Share,Gold_Share,Previous_Campaigns_Accepted,Has_Accepted_Previous_Cmp,Cluster,PCA1,PCA2,Cluster_Name
5524,1957,Graduation,Single,58138.0,0,0,2012-04-09,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,1617,25,0,0,57,972,0.32,0.16,0.4,0.12,64.68,0.39270253555967843,0.33766233766233766,0.05442176870748299,0,0,0,2.6931936895830657,1.2495718999876746,Digital Convenience Shoppers
2174,1954,Graduation,Single,46344.0,1,1,2014-08-03,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,27,6,2,1,60,126,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,4.5,0.4074074074074074,0.2222222222222222,0.2222222222222222,0,0,1,-2.3074201290563745,-0.9332886997318394,Occasional / Low-Engagement
4141,1965,Graduation,Together,71613.0,0,0,2013-07-02,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,776,21,0,0,49,523,0.38095238095238093,0.47619047619047616,0.09523809523809523,0.047619047619047616,36.95238095238095,0.5489690721649485,0.163659793814433,0.05412371134020619,0,0,0,2.057613817288767,-0.33108199695992047,Digital Convenience Shoppers
6182,1984,Graduation,Together,26646.0,1,0,2014-10-02,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,53,8,1,1,30,66,0.25,0.5,0.0,0.25,6.625,0.20754716981132076,0.37735849056603776,0.09433962264150944,0,0,1,-2.158954398050098,-0.983202944819118,Occasional / Low-Engagement
5324,1981,PhD,Married,58293.0,1,0,2013-07-02,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,422,19,1,1,33,523,0.2631578947368421,0.3157894736842105,0.15789473684210525,0.2631578947368421,22.210526315789473,0.4099526066350711,0.2796208530805687,0.035545023696682464,0,0,2,0.3898101360552154,1.1028560875659625,Deal & Discount Hunters
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,716,22,1,1,47,454,0.2727272727272727,0.45454545454545453,0.18181818181818182,0.09090909090909091,32.54545454545455,0.7262569832402235,0.13687150837988826,0.019553072625698324,0,0,0,1.3916624789914471,0.5482619473470253,Digital Convenience Shoppers
965,1971,Graduation,Divorced,55635.0,0,1,2013-07-02,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,590,21,1,1,43,523,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.19047619047619047,28.095238095238095,0.3983050847457627,0.27796610169491526,0.04576271186440678,0,0,0,0.7611073841621248,1.3251166375218344,Digital Convenience Shoppers
6177,1985,PhD,Married,33454.0,1,0,2013-08-05,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,169,10,1,1,29,489,0.4,0.4,0.0,0.2,16.9,0.44970414201183434,0.33136094674556216,0.13609467455621302,0,0,1,-1.8003924112983607,0.19235531941547537,Occasional / Low-Engagement
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,6,1,1,40,549,0.5,0.3333333333333333,0.0,0.16666666666666666,7.666666666666667,0.30434782608695654,0.5217391304347826,0.043478260869565216,0,0,1,-2.5919481857899678,-0.2251094129328293,Occasional / Low-Engagement
5899,1950,PhD,Together,5648.0,1,1,2013-07-02,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,49,2,2,1,64,523,0.5,0.0,0.0,0.5,24.5,0.5714285714285714,0.12244897959183673,0.2653061224489796,1,1,1,-5.277511153351102,1.6688729936967168,Occasional / Low-Engagement
